delivery_id,customer_id,jumpman_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_Jumpman_arrived_at_pickup,when_the_Jumpman_left_pickup,when_the_Jumpman_arrived_at_dropoff,start - dropoff,as the bird flies distance,wasted time (leftpickup - started - howlong),Delivery Minutes
1272701,81085,112646,bicycle,Mighty Quinn's BBQ,BBQ,Housemade Iced Tea,1,Beverages,,40.72751895,-73.9886713,40.723962,-73.993393,10/1/14 12:12 PM,10/1/14 12:17 PM,10/1/14 12:27 PM,10/1/14 12:34 PM,0.015309606,0.005911538,0:15,6
1272737,180618,143261,bicycle,Bareburger,Burger,Caesar,1,Bare Salads,05:25.7,40.7684888,-73.95518219,40.7698365,-73.9664884,10/1/14 12:19 PM,10/1/14 12:35 PM,10/1/14 12:41 PM,10/1/14 12:50 PM,0.021646528,0.011386253,0:16,8
1272790,230535,73175,bicycle,Shake Shack,Burger,Fifty / Fifty,1,Drinks,,40.75845677,-73.98914047,40.75295638,-73.98796001,10/1/14 12:29 PM,10/1/14 12:39 PM,10/1/14 1:08 PM,10/1/14 1:30 PM,0.042715278,0.005625636,0:39,21
1272824,284087,23359,bicycle,Smiler's,,,,,,40.76046828,-73.97395496,40.760557,-73.972888,10/1/14 12:34 PM,,,10/1/14 1:19 PM,0.03080809,0.00107064,#NUM!,#N/A
1272845,59765,14610,bicycle,Brooklyn Roasting Company,Coffee,,,,,40.70411988,-73.98666161,40.7040072,-73.986759,10/1/14 12:40 PM,,,10/1/14 12:59 PM,0.013434687,0.000148941,#NUM!,#N/A
1272849,70832,149651,bicycle,The Prime Grill,,,,,13:30.9,40.7613,-73.97307,40.7644385,-73.9581596,10/1/14 12:40 PM,10/1/14 1:01 PM,10/1/14 1:19 PM,10/1/14 1:33 PM,0.03656772,0.015237133,0:25,13
1272853,111939,67430,bicycle,The Halal Guys,Mediterranean,,,,,40.7617884,-73.9790839,40.7483638,-74.0053027,10/1/14 12:41 PM,10/1/14 1:15 PM,10/1/14 1:32 PM,10/1/14 1:50 PM,0.047449525,0.02945582,0:50,17
1272862,297592,60761,bicycle,Num Pang Sandwich Shop,Asian,Spicy Organic Tofu,1,Seasonal Special Sandwiches,,40.74319278,-73.98899317,40.7307693,-73.9913223,10/1/14 12:42 PM,10/1/14 12:53 PM,10/1/14 1:06 PM,10/1/14 1:16 PM,0.023461863,0.012639921,0:23,10
1272867,141449,143261,bicycle,Luke's Lobster,Seafood,Lobster Roll,1,Rolls,05:52.6,40.77483281,-73.9544744,40.7741339,-73.964082,10/1/14 12:43 PM,10/1/14 12:58 PM,10/1/14 1:05 PM,10/1/14 1:13 PM,0.020813785,0.009632992,0:15,8
1272896,354948,43955,bicycle,Westville Hudson,American,Hamburger,1,Burgers,21:50.2,40.72703111,-74.00751114,40.752908,-74.003664,10/1/14 12:50 PM,10/1/14 12:56 PM,10/1/14 1:33 PM,10/1/14 1:48 PM,0.040075336,0.026161305,0:21,14
1272936,174148,137891,bicycle,$10 Blue Ribbon Fried Chicken Sandwich,,Bonchon Soy-Garlic Wings,4,Today's Special,,40.72434,-73.99096,40.7259917,-73.9957071,10/1/14 12:57 PM,,,10/1/14 1:26 PM,0.019549016,0.005026238,#NUM!,#N/A
1272995,62765,128139,car,Shake Shack,Burger,Fountain Soda,1,Drinks,,40.69214641,-73.98886538,40.69415383,-73.96405799,10/1/14 1:13 PM,10/1/14 1:26 PM,10/1/14 1:54 PM,10/1/14 2:06 PM,0.036880648,0.024888477,0:41,11
1272990,143021,108647,bicycle,Trader Joe's,Grocery Store,,,,,40.778504,-73.982092,40.75769282,-73.96624079,10/1/14 1:13 PM,10/1/14 1:56 PM,10/1/14 2:42 PM,10/1/14 3:03 PM,0.076423021,0.026160394,1:28,21
1273016,304365,100390,bicycle,Sarabeth's Restaurant,American,Salmon Eggs Benedict,1,Eggs & Omelettes,08:00.7,40.76529895,-73.97566795,40.7856999,-73.9497935,10/1/14 1:21 PM,10/1/14 1:45 PM,10/1/14 1:49 PM,10/1/14 2:03 PM,0.029594537,0.032949749,0:20,14
1273027,118996,118095,bicycle,One Lucky Duck - Juice & Takeaway,Vegetarian,Fresh Greens Make Your Own,1,Salads,10:10.2,40.735725,-73.98712647,40.73263215,-73.99500346,10/1/14 1:22 PM,10/1/14 2:00 PM,10/1/14 2:13 PM,10/1/14 2:27 PM,0.045084942,0.008462434,0:41,13
1273081,57878,142394,bicycle,Chop't,Salad,,,,06:29.0,40.76396068,-73.97876453,40.764593,-73.964821,10/1/14 1:32 PM,10/1/14 2:12 PM,10/1/14 2:25 PM,10/1/14 2:37 PM,0.045202465,0.013957858,0:46,12
