,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Bronx,Male,"Other races, non-Hispanic",45-49 yr,925
Bronx,Male,"Other races, non-Hispanic",50-54 yr,869
Bronx,Male,"Other races, non-Hispanic",55-59 yr,600
Bronx,Male,"Other races, non-Hispanic",60-64 yr,466
Bronx,Male,"Other races, non-Hispanic",65-69 yr,329
Bronx,Male,"Other races, non-Hispanic",70-74 yr,227
Bronx,Male,"Other races, non-Hispanic",75-79 yr,137
Bronx,Male,"Other races, non-Hispanic",80-84 yr,67
Bronx,Male,"Other races, non-Hispanic",85+ yr,56
Bronx,Female,"White, non-Hispanic",Less than 1,654
Bronx,Female,"White, non-Hispanic",1-4 yr,"2,488"
Bronx,Female,"White, non-Hispanic",5-9 yr,"2,716"
Bronx,Female,"White, non-Hispanic",10-11 yr,"1,066"
Bronx,Female,"White, non-Hispanic",12-14 yr,"1,474"
Bronx,Female,"White, non-Hispanic",15-17 yr,"1,676"
Bronx,Female,"White, non-Hispanic",18-19 yr,"1,960"
Bronx,Female,"White, non-Hispanic",20-24 yr,"4,913"
Bronx,Female,"White, non-Hispanic",25-29 yr,"4,565"
Bronx,Female,"White, non-Hispanic",30-34 yr,"4,250"
Bronx,Female,"White, non-Hispanic",35-39 yr,"3,862"
Bronx,Female,"White, non-Hispanic",40-44 yr,"4,033"
Bronx,Female,"White, non-Hispanic",45-49 yr,"4,617"
Bronx,Female,"White, non-Hispanic",50-54 yr,"5,340"
Bronx,Female,"White, non-Hispanic",55-59 yr,"5,445"
Bronx,Female,"White, non-Hispanic",60-64 yr,"5,383"
Bronx,Female,"White, non-Hispanic",65-69 yr,"4,450"
Bronx,Female,"White, non-Hispanic",70-74 yr,"4,184"
Bronx,Female,"White, non-Hispanic",75-79 yr,"4,082"
Bronx,Female,"White, non-Hispanic",80-84 yr,"4,268"
Bronx,Female,"White, non-Hispanic",85+ yr,"6,210"
Bronx,Female,"Black, non-Hispanic",Less than 1,"2,866"
Bronx,Female,"Black, non-Hispanic",1-4 yr,"11,358"
Bronx,Female,"Black, non-Hispanic",5-9 yr,"14,164"
Bronx,Female,"Black, non-Hispanic",10-11 yr,"5,690"
Bronx,Female,"Black, non-Hispanic",12-14 yr,"8,679"
Bronx,Female,"Black, non-Hispanic",15-17 yr,"9,890"
